Date,iShares MSCI UK ETF,FTSE All-Share Index,FTSE 250 Index,FTSE 100 Index,UK_CPI,UK_Ind_Production,UK_GDP,UK_CPI_YoY,UK_Ind_Prod_YoY,UK_GDP_YoY,Is_Holiday
2011-04-13,0.0038400003330985033,0.0074081258213294365,0.006428935141037817,0.007695515524142937,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-04-14,0.002732082293161797,-0.006676055604841746,-0.001084695809746572,-0.0077532441124389395,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-04-15,0.000544984078229449,0.005485987681408844,0.00654991715395048,0.005399275020464556,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-04-18,-0.017973645105778036,-0.02015881110746809,-0.016131275042328252,-0.02099731526746995,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-04-19,0.00443706008172029,0.004820166995514796,0.007284105261180951,0.0045654766088572,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-04-20,0.025399963745091902,0.02026262961268066,0.01569831917685427,0.021265394431048357,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-04-21,0.008077636423682089,3.2038015527202646e-06,0.004618822730592109,-0.0006641980854036333,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-04-25,-0.003205275000559782,0.0,0.0,0.0,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-04-26,0.008574792415989796,0.007876794377080554,0.00498712083527364,0.008490786320822563,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-04-27,0.01381507932201198,0.00018103385449363962,0.002156773597023376,-0.00019766485164152137,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-04-28,-0.001572127591878969,0.00174629228768719,0.009995829392601907,0.00028010068497130725,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
