Date,EWU,^FTAS,^FTMC,^FTSE,UK_CPI,UK_Ind_Production,UK_GDP,UK_CPI_YoY,UK_Ind_Prod_YoY,UK_GDP_QoQ,UK_GDP_YoY,Is_Holiday
2011-05-04,-0.005336055704275422,-0.015059270824499094,-0.00879749950317621,-0.01624222102511208,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-05-05,-0.023605026286626862,-0.009902859752670023,-0.005323611032070907,-0.01071173553419602,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-05-06,0.001648332014067444,0.008827467258565092,0.005191757260945673,0.00959456160261829,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-05-09,0.006033622684150197,-0.004981297073324065,-0.0009322582769599741,-0.005705329020432637,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-05-10,0.012541094808690145,0.012795183561541412,0.013374180711476003,0.01282240471955065,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-05-11,-0.011846864555982717,-0.006551307682802987,-0.003094084219522397,-0.0071275321138078995,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-05-12,-0.002725013890181538,-0.005004443732729236,-0.0042270928863438195,-0.005187416331994599,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-05-13,-0.011475369965226356,-0.0022921137478589815,0.002682403170802816,-0.0032128002785954957,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-05-16,-0.0038693368571715014,-0.000996621314709123,-0.004633690998773421,-0.0003712021916502106,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-05-17,0.0027744382913650334,-0.01033863734381224,-0.009008976597854157,-0.010584633463070148,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-05-18,0.006641145487808364,0.00969716533457543,0.0043511321392362134,0.010663709264630672,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-05-19,0.006596857456988792,0.005782567607840461,0.008328075709779226,0.005486621085506904,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-05-20,-0.004369114160761356,-0.0009732611258026491,0.00047555127122178575,-0.0012592343854935795,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-05-23,-0.025781718937086917,-0.018487294759423456,-0.01638565040607043,-0.018929158217407704,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-05-24,0.004504515880618509,0.004108247507469187,0.005349373782836064,0.0038554465252160774,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-05-25,0.011771644315031082,0.0012307080067142095,-0.0028333060620282513,0.0019971656949910876,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-05-26,0.012187962069789782,0.0018764761356866444,0.0013361130827842516,0.0018568511886367656,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-05-27,0.009852100464230906,0.009776029294390254,0.00994846758614143,0.009845247805432722,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
